country,year,D1,D2,total_respondents,position_1,position_2,position_3,position_4,position_5,position_6,position_7,position_8,position_9,position_10,refused,dont_know
EE,2015.0,-0.16661964848592517,0.05388766645848109,1020.0,35.0,17.0,50.0,77.0,304.0,58.0,121.0,69.0,18.0,33.0,16.0,222.0
EE,2016.0,-0.1881385516418948,0.020049242757188935,1003.0,18.0,22.0,32.0,54.0,256.0,115.0,105.0,68.0,17.0,28.0,34.0,254.0
EE,2017.0,-0.19931300466316834,-0.04501721917078528,1007.0,28.0,24.0,29.0,39.0,255.0,82.0,97.0,61.0,21.0,40.0,51.0,280.0
EE,2019.0,-0.10104062958579585,0.008045903448794202,1026.0,18.0,33.0,49.0,74.0,309.0,99.0,102.0,70.0,31.0,32.0,41.0,168.0
EE,2020.0,0.21699955350389485,0.01852088435288831,1020.0,19.0,21.0,65.0,95.0,253.0,173.0,155.0,141.0,43.0,40.0,2.0,13.0
EE,2020.5,0.22124827412218584,0.020467454183672098,1019.0,22.0,26.0,71.0,86.0,285.0,144.0,142.0,136.0,57.0,39.0,0.0,11.0
EE,2021.0,-0.08977397415784853,-0.04650966250651589,1017.0,28.0,13.0,50.0,64.0,246.0,120.0,108.0,77.0,34.0,52.0,50.0,175.0
EE,2021.5,-0.11113942433973738,-0.06009618517786589,1030.0,15.0,21.0,54.0,47.0,236.0,122.0,126.0,70.0,41.0,35.0,78.0,185.0
EE,2022.0,-0.060386036448240504,-0.03270622924115123,1005.0,26.0,25.0,38.0,61.0,284.0,112.0,127.0,76.0,38.0,26.0,60.0,132.0
EE,2023.0,-0.10232098458913877,-0.07091894810509641,1003.0,30.0,15.0,44.0,56.0,229.0,99.0,110.0,80.0,36.0,55.0,65.0,184.0
EE,2024.5,-0.0184823423524502,-0.03191631449560592,1009.0,34.0,25.0,57.0,84.0,239.0,120.0,121.0,77.0,31.0,39.0,62.0,120.0
EE,2025.0,-0.018123780590144987,-0.04992646624910109,1004.0,24.0,30.0,56.0,67.0,224.0,131.0,119.0,85.0,33.0,45.0,66.0,124.0
